Date,Vegetable,Price,Location,Farmer
2023-01-08,Onion,26.61,Potheri,Farmer I
2023-01-08,Carrot,23.69,Guindy,Farmer F
2023-01-08,Cabbage,14.87,Tambaram,Farmer A
2023-01-08,Spinach,5.84,Guindy,Farmer F
2023-01-08,Cauliflower,19.32,Adyar,Farmer J
2023-01-08,Broccoli,34.76,Thiruvanmiyur,Farmer I
2023-01-08,Eggplant,25.08,Guindy,Farmer D
2023-01-08,Capsicum,44.31,Chromepet,Farmer J
2023-01-09,Tomato,19.28,Potheri,Farmer J
2023-01-09,Potato,15.16,Potheri,Farmer C
2023-01-09,Onion,27.21,Chromepet,Farmer I
2023-01-09,Carrot,22.08,Velachery,Farmer G
2023-01-09,Cabbage,20.14,Potheri,Farmer C
2023-01-09,Spinach,14.65,Adyar,Farmer F
2023-01-09,Cauliflower,23.05,T. Nagar,Farmer J
2023-01-09,Broccoli,38.3,Anna Nagar,Farmer H
2023-01-09,Eggplant,27.06,Tambaram,Farmer B
2023-01-09,Capsicum,41.62,Chromepet,Farmer C
2023-01-10,Tomato,15.45,Tambaram,Farmer I
2023-01-10,Potato,15.99,Kodambakkam,Farmer F
2023-01-10,Onion,27.35,Guindy,Farmer B
2023-01-10,Carrot,25.23,Kodambakkam,Farmer H
2023-01-10,Cabbage,17.67,Potheri,Farmer J
2023-01-10,Spinach,8.01,Kodambakkam,Farmer G
2023-01-10,Cauliflower,22.56,T. Nagar,Farmer E
2023-01-10,Broccoli,33.43,Kodambakkam,Farmer B
2023-01-10,Eggplant,26.44,Guindy,Farmer C
2023-01-10,Capsicum,42.97,Thiruvanmiyur,Farmer I
2023-01-11,Tomato,18.96,Tambaram,Farmer H
2023-01-11,Potato,10.54,Kodambakkam,Farmer B
2023-01-11,Onion,30.97,Adyar,Farmer D
2023-01-11,Carrot,23.6,Anna Nagar,Farmer I
2023-01-11,Cabbage,17.28,Chromepet,Farmer C
2023-01-11,Spinach,9.28,Adyar,Farmer C
2023-01-11,Cauliflower,24.61,Anna Nagar,Farmer D
2023-01-11,Broccoli,36.6,Chromepet,Farmer J
2023-01-11,Eggplant,26.67,Chromepet,Farmer G
2023-01-11,Capsicum,41.24,Guindy,Farmer C
2023-01-12,Tomato,18.46,Potheri,Farmer E
2023-01-12,Potato,15.35,Potheri,Farmer I
2023-01-12,Onion,26.0,Guindy,Farmer A
2023-01-12,Carrot,21.07,T. Nagar,Farmer C
2023-01-12,Cabbage,14.06,Thiruvanmiyur,Farmer C
2023-01-12,Spinach,6.68,Guindy,Farmer F
2023-01-12,Cauliflower,22.87,Kodambakkam,Farmer F
2023-01-12,Broccoli,32.19,Potheri,Farmer F
2023-01-12,Eggplant,30.0,Velachery,Farmer I
2023-01-12,Capsicum,35.44,Tambaram,Farmer F
2023-01-13,Tomato,17.96,Chromepet,Farmer D
2023-01-13,Potato,19.23,Adyar,Farmer G
2023-01-13,Onion,28.63,Adyar,Farmer J
2023-01-13,Carrot,20.58,Adyar,Farmer I
2023-01-13,Cabbage,18.67,Tambaram,Farmer B
2023-01-13,Spinach,8.93,Adyar,Farmer A
2023-01-13,Cauliflower,23.35,Potheri,Farmer J
2023-01-13,Broccoli,34.85,T. Nagar,Farmer H
2023-01-13,Eggplant,26.89,Kodambakkam,Farmer B
2023-01-13,Capsicum,40.19,Potheri,Farmer H
2023-01-14,Tomato,24.75,Thiruvanmiyur,Farmer B
2023-01-14,Potato,12.99,T. Nagar,Farmer B
2023-01-14,Onion,27.85,Kodambakkam,Farmer B
2023-01-14,Carrot,23.94,Kodambakkam,Farmer E
2023-01-14,Cabbage,20.79,T. Nagar,Farmer G
2023-01-14,Spinach,14.49,Adyar,Farmer G
2023-01-14,Cauliflower,25.38,Potheri,Farmer H
2023-01-14,Broccoli,32.32,Anna Nagar,Farmer D
2023-01-14,Eggplant,25.32,Guindy,Farmer E
2023-01-14,Capsicum,36.72,Anna Nagar,Farmer F
2023-01-15,Tomato,23.51,Velachery,Farmer D
2023-01-15,Potato,15.18,T. Nagar,Farmer A
2023-01-15,Onion,26.51,Potheri,Farmer A
2023-01-15,Carrot,20.09,Adyar,Farmer F
2023-01-15,Cabbage,21.92,Adyar,Farmer F
2023-01-15,Spinach,9.87,Guindy,Farmer E
2023-01-15,Cauliflower,24.0,Anna Nagar,Farmer A
2023-01-15,Broccoli,38.88,Guindy,Farmer F
2023-01-15,Eggplant,32.75,Kodambakkam,Farmer H
2023-01-15,Capsicum,37.24,T. Nagar,Farmer E
2023-01-16,Tomato,20.96,T. Nagar,Farmer I
2023-01-16,Potato,16.09,Guindy,Farmer H
2023-01-16,Onion,32.14,Guindy,Farmer I
2023-01-16,Carrot,27.2,Anna Nagar,Farmer D
2023-01-16,Cabbage,14.73,Chromepet,Farmer E
2023-01-16,Spinach,9.67,Guindy,Farmer J
2023-01-16,Cauliflower,24.95,Velachery,Farmer C
2023-01-16,Broccoli,35.03,Velachery,Farmer F
2023-01-16,Eggplant,29.96,Guindy,Farmer I
2023-01-16,Capsicum,39.14,Kodambakkam,Farmer A
2023-01-17,Tomato,16.82,Guindy,Farmer B
2023-01-17,Potato,19.37,Tambaram,Farmer H
2023-01-17,Onion,29.8,Thiruvanmiyur,Farmer I
2023-01-17,Carrot,25.05,T. Nagar,Farmer I
2023-01-17,Cabbage,22.36,Potheri,Farmer J
2023-01-17,Spinach,6.22,Thiruvanmiyur,Farmer J
2023-01-17,Cauliflower,19.62,Thiruvanmiyur,Farmer C
2023-01-17,Broccoli,37.71,Anna Nagar,Farmer E
2023-01-17,Eggplant,25.62,Potheri,Farmer J
2023-01-17,Capsicum,35.01,Tambaram,Farmer H
2023-01-18,Tomato,17.97,Anna Nagar,Farmer D
2023-01-18,Potato,19.99,Velachery,Farmer E
2023-01-18,Onion,28.5,Anna Nagar,Farmer E
2023-01-18,Carrot,20.59,T. Nagar,Farmer G
2023-01-18,Cabbage,15.62,Chromepet,Farmer E
2023-01-18,Spinach,11.12,Guindy,Farmer I
2023-01-18,Cauliflower,23.67,Chromepet,Farmer G
2023-01-18,Broccoli,30.02,Velachery,Farmer J
2023-01-18,Eggplant,23.61,Anna Nagar,Farmer H
2023-01-18,Capsicum,37.14,Guindy,Farmer F
2023-01-19,Tomato,20.21,Potheri,Farmer F
2023-01-19,Potato,18.62,Thiruvanmiyur,Farmer E
2023-01-19,Onion,25.61,Chromepet,Farmer E
2023-01-19,Carrot,28.27,Thiruvanmiyur,Farmer C
2023-01-19,Cabbage,14.22,Adyar,Farmer G
2023-01-19,Spinach,11.97,Potheri,Farmer I
2023-01-19,Cauliflower,21.85,Potheri,Farmer J
2023-01-19,Broccoli,30.56,Velachery,Farmer F
2023-01-19,Eggplant,27.67,Kodambakkam,Farmer G
2023-01-19,Capsicum,37.51,Kodambakkam,Farmer G
2023-01-20,Tomato,17.66,Potheri,Farmer D
2023-01-20,Potato,10.94,Chromepet,Farmer H
2023-01-20,Onion,28.51,Thiruvanmiyur,Farmer H
2023-01-20,Carrot,27.13,Guindy,Farmer D
2023-01-20,Cabbage,22.23,Tambaram,Farmer I
2023-01-20,Spinach,14.02,Adyar,Farmer G
2023-01-20,Cauliflower,24.43,Chromepet,Farmer A
2023-01-20,Broccoli,37.96,Thiruvanmiyur,Farmer E
2023-01-20,Eggplant,24.3,Potheri,Farmer D
2023-01-20,Capsicum,36.04,Velachery,Farmer A
2023-01-21,Tomato,19.31,Adyar,Farmer F
2023-01-21,Potato,19.63,Thiruvanmiyur,Farmer A
2023-01-21,Onion,26.88,Thiruvanmiyur,Farmer E
2023-01-21,Carrot,26.62,Guindy,Farmer I
2023-01-21,Cabbage,21.97,Potheri,Farmer E
2023-01-21,Spinach,11.62,Tambaram,Farmer G
2023-01-21,Cauliflower,19.22,Chromepet,Farmer E
2023-01-21,Broccoli,33.77,Anna Nagar,Farmer G
2023-01-21,Eggplant,24.1,Adyar,Farmer A
2023-01-21,Capsicum,37.81,Chromepet,Farmer D
2023-01-22,Tomato,24.95,Potheri,Farmer H
2023-01-22,Potato,18.52,Anna Nagar,Farmer C
2023-01-22,Onion,29.95,Tambaram,Farmer G
2023-01-22,Carrot,21.31,Anna Nagar,Farmer E
2023-01-22,Cabbage,20.62,Chromepet,Farmer H
2023-01-22,Spinach,5.03,Velachery,Farmer C
2023-01-22,Cauliflower,23.22,T. Nagar,Farmer B
2023-01-22,Broccoli,30.68,Potheri,Farmer A
2023-01-22,Eggplant,30.81,Adyar,Farmer E
2023-01-22,Capsicum,38.58,Potheri,Farmer H
2023-01-23,Tomato,17.68,Kodambakkam,Farmer C
2023-01-23,Potato,12.1,Kodambakkam,Farmer E
2023-01-23,Onion,33.9,Adyar,Farmer B
2023-01-23,Carrot,20.33,Adyar,Farmer A
2023-01-23,Cabbage,14.87,Kodambakkam,Farmer G
2023-01-23,Spinach,12.64,Tambaram,Farmer E
2023-01-23,Cauliflower,18.42,Potheri,Farmer A
2023-01-23,Broccoli,33.97,Adyar,Farmer I
2023-01-23,Eggplant,26.07,Velachery,Farmer I
2023-01-23,Capsicum,35.45,Thiruvanmiyur,Farmer I
2023-01-24,Tomato,17.55,Adyar,Farmer D
2023-01-24,Potato,18.25,Velachery,Farmer A
2023-01-24,Onion,28.14,T. Nagar,Farmer G
2023-01-24,Carrot,26.75,Guindy,Farmer B
2023-01-24,Cabbage,16.68,Potheri,Farmer I
2023-01-24,Spinach,12.66,Anna Nagar,Farmer E
2023-01-24,Cauliflower,18.07,Thiruvanmiyur,Farmer J
2023-01-24,Broccoli,34.93,Adyar,Farmer I
2023-01-24,Eggplant,31.81,Anna Nagar,Farmer J
2023-01-24,Capsicum,39.97,Velachery,Farmer D
2023-01-25,Tomato,22.3,Adyar,Farmer J
2023-01-25,Potato,10.28,Thiruvanmiyur,Farmer D
2023-01-25,Onion,29.88,Anna Nagar,Farmer H
2023-01-25,Carrot,21.97,Potheri,Farmer C
2023-01-25,Cabbage,16.78,Potheri,Farmer J
2023-01-25,Spinach,10.31,Potheri,Farmer B
2023-01-25,Cauliflower,24.21,Tambaram,Farmer I
2023-01-25,Broccoli,39.18,Tambaram,Farmer F
2023-01-25,Eggplant,29.38,Tambaram,Farmer F
2023-01-25,Capsicum,43.02,Kodambakkam,Farmer C
2023-01-26,Tomato,19.43,T. Nagar,Farmer F
2023-01-26,Potato,12.0,Anna Nagar,Farmer J
2023-01-26,Onion,34.93,Kodambakkam,Farmer I
2023-01-26,Carrot,23.44,Chromepet,Farmer D
2023-01-26,Cabbage,14.81,Potheri,Farmer F
2023-01-26,Spinach,7.67,Anna Nagar,Farmer J
2023-01-26,Cauliflower,26.88,Chromepet,Farmer I
2023-01-26,Broccoli,32.38,Velachery,Farmer B
2023-01-26,Eggplant,24.52,Tambaram,Farmer A
2023-01-26,Capsicum,44.69,Velachery,Farmer E
2023-01-27,Tomato,18.77,Guindy,Farmer G
2023-01-27,Potato,11.58,Thiruvanmiyur,Farmer J
2023-01-27,Onion,28.83,Thiruvanmiyur,Farmer F
2023-01-27,Carrot,28.24,Adyar,Farmer F
2023-01-27,Cabbage,21.81,Guindy,Farmer E
2023-01-27,Spinach,12.28,Tambaram,Farmer J
2023-01-27,Cauliflower,17.02,Guindy,Farmer E
2023-01-27,Broccoli,30.85,Thiruvanmiyur,Farmer J
2023-01-27,Eggplant,30.54,Velachery,Farmer I
2023-01-27,Capsicum,35.87,T. Nagar,Farmer B
2023-01-28,Tomato,21.83,Chromepet,Farmer D
2023-01-28,Potato,19.73,Tambaram,Farmer A
2023-01-28,Onion,28.09,Adyar,Farmer D
2023-01-28,Carrot,23.03,Velachery,Farmer A
2023-01-28,Cabbage,19.63,Adyar,Farmer I
2023-01-28,Spinach,5.86,Guindy,Farmer F
2023-01-28,Cauliflower,17.01,Guindy,Farmer B
2023-01-28,Broccoli,33.05,Chromepet,Farmer J
2023-01-28,Eggplant,29.54,Tambaram,Farmer A
2023-01-28,Capsicum,39.97,Potheri,Farmer H
2023-01-29,Tomato,19.54,Guindy,Farmer E
2023-01-29,Potato,19.7,Potheri,Farmer J
2023-01-29,Onion,34.16,Guindy,Farmer D
2023-01-29,Carrot,22.11,Adyar,Farmer A
2023-01-29,Cabbage,14.09,Potheri,Farmer I
2023-01-29,Spinach,11.18,T. Nagar,Farmer F
2023-01-29,Cauliflower,24.25,Velachery,Farmer B
2023-01-29,Broccoli,38.09,Kodambakkam,Farmer G
2023-01-29,Eggplant,30.01,Potheri,Farmer E
2023-01-29,Capsicum,44.34,Anna Nagar,Farmer B
2023-01-30,Tomato,16.83,Guindy,Farmer D
2023-01-30,Potato,16.25,Potheri,Farmer J
2023-01-30,Onion,31.71,T. Nagar,Farmer A
2023-01-30,Carrot,24.14,Guindy,Farmer A
2023-01-30,Cabbage,15.64,Potheri,Farmer C
2023-01-30,Spinach,6.82,Velachery,Farmer D
2023-01-30,Cauliflower,17.95,Thiruvanmiyur,Farmer A
2023-01-30,Broccoli,31.19,Tambaram,Farmer C
2023-01-30,Eggplant,30.89,Potheri,Farmer E
2023-01-30,Capsicum,38.7,Guindy,Farmer F
2023-01-31,Tomato,23.48,Kodambakkam,Farmer D
2023-01-31,Potato,15.8,T. Nagar,Farmer B
2023-01-31,Onion,31.54,Kodambakkam,Farmer C
2023-01-31,Carrot,28.01,Potheri,Farmer B
2023-01-31,Cabbage,13.56,Adyar,Farmer J
2023-01-31,Spinach,12.77,Kodambakkam,Farmer F
2023-01-31,Cauliflower,23.79,Guindy,Farmer H
2023-01-31,Broccoli,33.78,Kodambakkam,Farmer J
2023-01-31,Eggplant,27.18,Tambaram,Farmer F
2023-01-31,Capsicum,41.31,Anna Nagar,Farmer A
2023-02-01,Tomato,18.02,Velachery,Farmer E
2023-02-01,Potato,19.43,Guindy,Farmer A
2023-02-01,Onion,31.36,Potheri,Farmer F
2023-02-01,Carrot,27.55,Guindy,Farmer G
2023-02-01,Cabbage,14.83,Tambaram,Farmer F
2023-02-01,Spinach,12.08,Potheri,Farmer I
2023-02-01,Cauliflower,24.89,Kodambakkam,Farmer G
2023-02-01,Broccoli,39.56,Potheri,Farmer D
2023-02-01,Eggplant,29.92,T. Nagar,Farmer I
2023-02-01,Capsicum,39.39,Kodambakkam,Farmer B
2023-02-02,Tomato,21.24,Adyar,Farmer I
2023-02-02,Potato,11.81,Adyar,Farmer F
2023-02-02,Onion,33.27,T. Nagar,Farmer B
2023-02-02,Carrot,25.0,Thiruvanmiyur,Farmer B
2023-02-02,Cabbage,19.38,Potheri,Farmer H
2023-02-02,Spinach,7.17,Thiruvanmiyur,Farmer C
2023-02-02,Cauliflower,17.28,Adyar,Farmer C
2023-02-02,Broccoli,31.23,Chromepet,Farmer I
2023-02-02,Eggplant,23.63,Guindy,Farmer D
2023-02-02,Capsicum,42.39,T. Nagar,Farmer H
2023-02-03,Tomato,18.91,Kodambakkam,Farmer G
2023-02-03,Potato,18.7,Chromepet,Farmer H
2023-02-03,Onion,32.31,Tambaram,Farmer F
2023-02-03,Carrot,21.21,Adyar,Farmer G
2023-02-03,Cabbage,16.42,Chromepet,Farmer B
2023-02-03,Spinach,7.37,Potheri,Farmer G
2023-02-03,Cauliflower,17.31,Tambaram,Farmer H
2023-02-03,Broccoli,38.33,Tambaram,Farmer C
2023-02-03,Eggplant,32.19,Thiruvanmiyur,Farmer D
2023-02-03,Capsicum,42.74,Chromepet,Farmer E
2023-02-04,Tomato,16.47,Thiruvanmiyur,Farmer D
2023-02-04,Potato,12.56,Thiruvanmiyur,Farmer I
2023-02-04,Onion,33.76,Kodambakkam,Farmer I
2023-02-04,Carrot,27.01,Thiruvanmiyur,Farmer E
2023-02-04,Cabbage,18.94,Kodambakkam,Farmer A
2023-02-04,Spinach,7.15,Guindy,Farmer G
2023-02-04,Cauliflower,18.44,T. Nagar,Farmer B
2023-02-04,Broccoli,32.71,Velachery,Farmer E
2023-02-04,Eggplant,31.15,Guindy,Farmer G
2023-02-04,Capsicum,39.77,Adyar,Farmer D
2023-02-05,Tomato,22.43,Potheri,Farmer G
2023-02-05,Potato,16.11,Potheri,Farmer C
2023-02-05,Onion,28.08,Thiruvanmiyur,Farmer I
2023-02-05,Carrot,20.91,Adyar,Farmer C
2023-02-05,Cabbage,13.24,Adyar,Farmer H
2023-02-05,Spinach,7.16,Adyar,Farmer G
2023-02-05,Cauliflower,21.1,Kodambakkam,Farmer J
2023-02-05,Broccoli,35.65,Potheri,Farmer E
2023-02-05,Eggplant,29.2,Potheri,Farmer B
2023-02-05,Capsicum,39.64,Velachery,Farmer J
2023-02-06,Tomato,20.78,T. Nagar,Farmer A
2023-02-06,Potato,19.06,Thiruvanmiyur,Farmer I
2023-02-06,Onion,30.38,T. Nagar,Farmer I
2023-02-06,Carrot,22.75,Kodambakkam,Farmer J
2023-02-06,Cabbage,17.23,Guindy,Farmer E
2023-02-06,Spinach,9.32,Thiruvanmiyur,Farmer H
2023-02-06,Cauliflower,19.57,Thiruvanmiyur,Farmer H
2023-02-06,Broccoli,31.86,Potheri,Farmer A
2023-02-06,Eggplant,25.47,T. Nagar,Farmer H
2023-02-06,Capsicum,41.9,Tambaram,Farmer C
2023-02-07,Tomato,22.81,Guindy,Farmer J
2023-02-07,Potato,18.21,T. Nagar,Farmer G
2023-02-07,Onion,34.72,T. Nagar,Farmer F
2023-02-07,Carrot,25.86,Thiruvanmiyur,Farmer H
2023-02-07,Cabbage,21.94,Guindy,Farmer C
2023-02-07,Spinach,12.0,Chromepet,Farmer G
2023-02-07,Cauliflower,21.28,Anna Nagar,Farmer E
2023-02-07,Broccoli,39.87,Kodambakkam,Farmer J
2023-02-07,Eggplant,28.87,Chromepet,Farmer J
2023-02-07,Capsicum,35.28,Potheri,Farmer G
2023-02-08,Tomato,23.5,Potheri,Farmer D
2023-02-08,Potato,15.82,Kodambakkam,Farmer B
2023-02-08,Onion,27.85,Kodambakkam,Farmer I
2023-02-08,Carrot,28.5,Kodambakkam,Farmer E
2023-02-08,Cabbage,17.77,Guindy,Farmer J
2023-02-08,Spinach,11.49,Chromepet,Farmer E
2023-02-08,Cauliflower,18.94,T. Nagar,Farmer C
2023-02-08,Broccoli,38.11,Potheri,Farmer A
2023-02-08,Eggplant,32.21,Kodambakkam,Farmer I
2023-02-08,Capsicum,36.07,Anna Nagar,Farmer F
2023-02-09,Tomato,16.18,T. Nagar,Farmer C
2023-02-09,Potato,14.03,T. Nagar,Farmer H
2023-02-09,Onion,26.68,Anna Nagar,Farmer A
2023-02-09,Carrot,29.05,Thiruvanmiyur,Farmer B
2023-02-09,Cabbage,16.39,Thiruvanmiyur,Farmer A
2023-02-09,Spinach,14.05,Velachery,Farmer J
2023-02-09,Cauliflower,17.26,Chromepet,Farmer B
2023-02-09,Broccoli,36.75,Potheri,Farmer G
2023-02-09,Eggplant,31.87,Adyar,Farmer C
2023-02-09,Capsicum,36.7,Tambaram,Farmer D
2023-02-10,Tomato,23.43,Guindy,Farmer A
2023-02-10,Potato,10.76,Thiruvanmiyur,Farmer J
2023-02-10,Onion,29.05,Velachery,Farmer B
2023-02-10,Carrot,23.33,Chromepet,Farmer G
2023-02-10,Cabbage,16.61,Tambaram,Farmer J
2023-02-10,Spinach,13.69,T. Nagar,Farmer B
2023-02-10,Cauliflower,23.01,Guindy,Farmer J
2023-02-10,Broccoli,34.16,Adyar,Farmer F
2023-02-10,Eggplant,29.96,Chromepet,Farmer C
2023-02-10,Capsicum,37.66,Anna Nagar,Farmer H
2023-02-11,Tomato,21.37,Adyar,Farmer F
2023-02-11,Potato,14.67,Adyar,Farmer I
2023-02-11,Onion,29.03,T. Nagar,Farmer J
2023-02-11,Carrot,22.92,Tambaram,Farmer A
2023-02-11,Cabbage,15.63,T. Nagar,Farmer E
2023-02-11,Spinach,11.68,T. Nagar,Farmer C
2023-02-11,Cauliflower,24.11,Tambaram,Farmer I
2023-02-11,Broccoli,35.06,Chromepet,Farmer A
2023-02-11,Eggplant,28.04,Tambaram,Farmer D
2023-02-11,Capsicum,40.96,Anna Nagar,Farmer A
2023-02-12,Tomato,23.08,Guindy,Farmer H
2023-02-12,Potato,13.55,T. Nagar,Farmer C
2023-02-12,Onion,27.82,Thiruvanmiyur,Farmer I
2023-02-12,Carrot,24.72,Anna Nagar,Farmer E
2023-02-12,Cabbage,15.78,T. Nagar,Farmer C
2023-02-12,Spinach,10.87,Velachery,Farmer A
2023-02-12,Cauliflower,20.06,Anna Nagar,Farmer C
2023-02-12,Broccoli,36.48,T. Nagar,Farmer H
2023-02-12,Eggplant,25.67,Kodambakkam,Farmer H
2023-02-12,Capsicum,40.56,Potheri,Farmer I
2023-02-13,Tomato,19.37,Anna Nagar,Farmer D
2023-02-13,Potato,12.71,Chromepet,Farmer E
2023-02-13,Onion,25.71,Tambaram,Farmer J
2023-02-13,Carrot,29.93,Kodambakkam,Farmer G
2023-02-13,Cabbage,18.18,Potheri,Farmer F
2023-02-13,Spinach,14.17,T. Nagar,Farmer H
2023-02-13,Cauliflower,25.6,Guindy,Farmer A
2023-02-13,Broccoli,37.67,Chromepet,Farmer C
2023-02-13,Eggplant,29.98,Kodambakkam,Farmer F
2023-02-13,Capsicum,42.75,Potheri,Farmer D
2023-02-14,Tomato,16.07,Adyar,Farmer C
2023-02-14,Potato,13.08,Tambaram,Farmer H
2023-02-14,Onion,30.14,Potheri,Farmer D
2023-02-14,Carrot,22.37,Tambaram,Farmer J
2023-02-14,Cabbage,17.02,T. Nagar,Farmer A
2023-02-14,Spinach,5.35,Kodambakkam,Farmer C
2023-02-14,Cauliflower,25.17,Velachery,Farmer H
2023-02-14,Broccoli,32.12,Anna Nagar,Farmer E
2023-02-14,Eggplant,28.75,Adyar,Farmer F
2023-02-14,Capsicum,35.75,Chromepet,Farmer H
2023-02-15,Tomato,15.54,Tambaram,Farmer D
2023-02-15,Potato,10.26,Potheri,Farmer I
2023-02-15,Onion,29.61,Guindy,Farmer E
2023-02-15,Carrot,22.28,Thiruvanmiyur,Farmer C
2023-02-15,Cabbage,18.72,Potheri,Farmer H
2023-02-15,Spinach,8.44,Velachery,Farmer G
2023-02-15,Cauliflower,24.07,Kodambakkam,Farmer A
2023-02-15,Broccoli,36.35,Kodambakkam,Farmer J
2023-02-15,Eggplant,23.01,T. Nagar,Farmer E
2023-02-15,Capsicum,37.04,Chromepet,Farmer G
2023-02-16,Tomato,23.91,Kodambakkam,Farmer A
2023-02-16,Potato,14.64,Thiruvanmiyur,Farmer D
2023-02-16,Onion,29.18,T. Nagar,Farmer G
2023-02-16,Carrot,20.52,Tambaram,Farmer H
2023-02-16,Cabbage,13.97,Anna Nagar,Farmer H
2023-02-16,Spinach,10.14,Potheri,Farmer B
2023-02-16,Cauliflower,22.56,Kodambakkam,Farmer C
2023-02-16,Broccoli,38.22,Chromepet,Farmer E
2023-02-16,Eggplant,28.27,Velachery,Farmer I
2023-02-16,Capsicum,42.36,Potheri,Farmer G
2023-02-17,Tomato,19.25,Guindy,Farmer A
2023-02-17,Potato,10.45,Guindy,Farmer J
2023-02-17,Onion,32.96,Anna Nagar,Farmer C
2023-02-17,Carrot,28.5,Kodambakkam,Farmer D
2023-02-17,Cabbage,21.75,Chromepet,Farmer J
2023-02-17,Spinach,9.5,Anna Nagar,Farmer C
2023-02-17,Cauliflower,25.82,Anna Nagar,Farmer A
2023-02-17,Broccoli,33.53,Anna Nagar,Farmer G
2023-02-17,Eggplant,27.02,Guindy,Farmer C
2023-02-17,Capsicum,43.95,Anna Nagar,Farmer H
2023-02-18,Tomato,23.02,Chromepet,Farmer D
2023-02-18,Potato,14.45,Kodambakkam,Farmer B
